sname,rname,order,city,province,geometry
上海中潭路(地铁站),上海地铁3号线(上海南站--江杨北路),12,上海,上海市,"31.25642627,121.43638781"
上海上海火车站(地铁站),上海地铁3号线(上海南站--江杨北路),13,上海,上海市,"31.25152559,121.45336678"
上海宝山路(地铁站),上海地铁3号线(上海南站--江杨北路),14,上海,上海市,"31.25346217,121.47178086"
上海东宝兴路(地铁站),上海地铁3号线(上海南站--江杨北路),15,上海,上海市,"31.26183279,121.47569748"
上海虹口足球场(地铁站),上海地铁3号线(上海南站--江杨北路),16,上海,上海市,"31.27333134,121.47464523"
上海赤峰路(地铁站),上海地铁3号线(上海南站--江杨北路),17,上海,上海市,"31.28319225,121.47793119"
上海大柏树(地铁站),上海地铁3号线(上海南站--江杨北路),18,上海,上海市,"31.29137698,121.47871962"
上海江湾镇(地铁站),上海地铁3号线(上海南站--江杨北路),19,上海,上海市,"31.3075075,121.48057254"
上海殷高西路(地铁站),上海地铁3号线(上海南站--江杨北路),20,上海,上海市,"31.32194102,121.48036209"
上海长江南路(地铁站),上海地铁3号线(上海南站--江杨北路),21,上海,上海市,"31.33401304,121.48701113"
上海淞发路(地铁站),上海地铁3号线(上海南站--江杨北路),22,上海,上海市,"31.34710814,121.49595013"
上海张华浜(地铁站),上海地铁3号线(上海南站--江杨北路),23,上海,上海市,"31.35997956,121.4942232"
上海淞滨路(地铁站),上海地铁3号线(上海南站--江杨北路),24,上海,上海市,"31.37287018,121.48834979"
上海水产路(地铁站),上海地铁3号线(上海南站--江杨北路),25,上海,上海市,"31.38322778,121.48376147"
上海宝杨路(地铁站),上海地铁3号线(上海南站--江杨北路),26,上海,上海市,"31.39721093,121.47505543"
上海友谊路(地铁站),上海地铁3号线(上海南站--江杨北路),27,上海,上海市,"31.40589946,121.47139412"
上海铁力路(地铁站),上海地铁3号线(上海南站--江杨北路),28,上海,上海市,"31.40996425,121.45656094"
上海江杨北路(地铁站),上海地铁3号线(上海南站--江杨北路),29,上海,上海市,"31.40965845,121.43519049"
上海江杨北路(地铁站),上海地铁3号线(江杨北路--上海南站),1,上海,上海市,"31.409658,121.43518879"
上海铁力路(地铁站),上海地铁3号线(江杨北路--上海南站),2,上海,上海市,"31.40996512,121.45656219"
上海友谊路(地铁站),上海地铁3号线(江杨北路--上海南站),3,上海,上海市,"31.40589902,121.47139322"
上海宝杨路(地铁站),上海地铁3号线(江杨北路--上海南站),4,上海,上海市,"31.3972117,121.47505599"
上海水产路(地铁站),上海地铁3号线(江杨北路--上海南站),5,上海,上海市,"31.38322851,121.48376063"
上海淞滨路(地铁站),上海地铁3号线(江杨北路--上海南站),6,上海,上海市,"31.3728711,121.48834955"
上海张华浜(地铁站),上海地铁3号线(江杨北路--上海南站),7,上海,上海市,"31.3599793,121.49422313"
上海淞发路(地铁站),上海地铁3号线(江杨北路--上海南站),8,上海,上海市,"31.34710859,121.49595015"
上海长江南路(地铁站),上海地铁3号线(江杨北路--上海南站),9,上海,上海市,"31.33401347,121.48701126"
上海殷高西路(地铁站),上海地铁3号线(江杨北路--上海南站),10,上海,上海市,"31.32194146,121.48036388"
上海江湾镇(地铁站),上海地铁3号线(江杨北路--上海南站),11,上海,上海市,"31.3075086,121.48057273"
上海大柏树(地铁站),上海地铁3号线(江杨北路--上海南站),12,上海,上海市,"31.29137654,121.47871985"
上海赤峰路(地铁站),上海地铁3号线(江杨北路--上海南站),13,上海,上海市,"31.28319171,121.47793064"
上海虹口足球场(地铁站),上海地铁3号线(江杨北路--上海南站),14,上海,上海市,"31.27333206,121.47464487"
上海东宝兴路(地铁站),上海地铁3号线(江杨北路--上海南站),15,上海,上海市,"31.26183381,121.47569886"
上海宝山路(地铁站),上海地铁3号线(江杨北路--上海南站),16,上海,上海市,"31.25346266,121.47178092"
上海上海火车站(地铁站),上海地铁3号线(江杨北路--上海南站),17,上海,上海市,"31.25152605,121.45336724"
上海中潭路(地铁站),上海地铁3号线(江杨北路--上海南站),18,上海,上海市,"31.25642532,121.4363884"
上海镇坪路(地铁站),上海地铁3号线(江杨北路--上海南站),19,上海,上海市,"31.24821329,121.42514732"
上海曹杨路(地铁站),上海地铁3号线(江杨北路--上海南站),20,上海,上海市,"31.24113745,121.41305448"
上海金沙江路(地铁站),上海地铁3号线(江杨北路--上海南站),21,上海,上海市,"31.23398342,121.40855314"
上海中山公园(地铁站),上海地铁3号线(江杨北路--上海南站),22,上海,上海市,"31.21979299,121.4111279"
上海延安西路(地铁站),上海地铁3号线(江杨北路--上海南站),23,上海,上海市,"31.21146523,121.41241825"
上海虹桥路(地铁站),上海地铁3号线(江杨北路--上海南站),24,上海,上海市,"31.19938147,121.41617396"
上海宜山路(地铁站),上海地铁3号线(江杨北路--上海南站),25,上海,上海市,"31.18858708,121.42256386"
上海漕溪路(地铁站),上海地铁3号线(江杨北路--上海南站),26,上海,上海市,"31.17863692,121.4337991"
上海龙漕路(地铁站),上海地铁3号线(江杨北路--上海南站),27,上海,上海市,"31.17136162,121.43978304"
上海石龙路(地铁站),上海地铁3号线(江杨北路--上海南站),28,上海,上海市,"31.15985647,121.43860467"
上海上海南站(地铁站),上海地铁3号线(江杨北路--上海南站),29,上海,上海市,"31.15523531,121.42643839"
上海宜山路(地铁站),上海地铁4号线内圈(宜山路--宜山路),1,上海,上海市,"31.18895227,121.42260652"
上海虹桥路(地铁站),上海地铁4号线内圈(宜山路--宜山路),2,上海,上海市,"31.19938232,121.41617548"
上海延安西路(地铁站),上海地铁4号线内圈(宜山路--宜山路),3,上海,上海市,"31.21146507,121.41241858"
上海中山公园(地铁站),上海地铁4号线内圈(宜山路--宜山路),4,上海,上海市,"31.21979386,121.411128"
上海金沙江路(地铁站),上海地铁4号线内圈(宜山路--宜山路),5,上海,上海市,"31.23398401,121.40855171"
上海曹杨路(地铁站),上海地铁4号线内圈(宜山路--宜山路),6,上海,上海市,"31.24113849,121.41305479"
上海镇坪路(地铁站),上海地铁4号线内圈(宜山路--宜山路),7,上海,上海市,"31.24821438,121.42514711"
上海中潭路(地铁站),上海地铁4号线内圈(宜山路--宜山路),8,上海,上海市,"31.25642567,121.43638784"
上海上海火车站(地铁站),上海地铁4号线内圈(宜山路--宜山路),9,上海,上海市,"31.25152541,121.45336615"
上海宝山路(地铁站),上海地铁4号线内圈(宜山路--宜山路),10,上海,上海市,"31.25346245,121.47178095"
上海海伦路(地铁站),上海地铁4号线内圈(宜山路--宜山路),11,上海,上海市,"31.26099398,121.4851916"
上海临平路(地铁站),上海地铁4号线内圈(宜山路--宜山路),12,上海,上海市,"31.26288088,121.4962652"
上海大连路(地铁站),上海地铁4号线内圈(宜山路--宜山路),13,上海,上海市,"31.25998412,121.50870081"
上海杨树浦路(地铁站),上海地铁4号线内圈(宜山路--宜山路),14,上海,上海市,"31.2539951,121.51283866"
上海浦东大道(地铁站),上海地铁4号线内圈(宜山路--宜山路),15,上海,上海市,"31.24237941,121.51493791"
上海世纪大道(地铁站),上海地铁4号线内圈(宜山路--宜山路),16,上海,上海市,"31.23078009,121.52287676"
上海向城路(地铁站),上海地铁4号线内圈(宜山路--宜山路),17,上海,上海市,"31.22439979,121.52776134"
上海蓝村路(地铁站),上海地铁4号线内圈(宜山路--宜山路),18,上海,上海市,"31.21367072,121.52356805"
上海塘桥(地铁站),上海地铁4号线内圈(宜山路--宜山路),19,上海,上海市,"31.21184495,121.51432791"
上海南浦大桥(地铁站),上海地铁4号线内圈(宜山路--宜山路),20,上海,上海市,"31.21053316,121.49529392"
上海西藏南路(地铁站),上海地铁4号线内圈(宜山路--宜山路),21,上海,上海市,"31.20396821,121.48508793"
上海鲁班路(地铁站),上海地铁4号线内圈(宜山路--宜山路),22,上海,上海市,"31.20118265,121.47063185"
上海大木桥路(地铁站),上海地铁4号线内圈(宜山路--宜山路),23,上海,上海市,"31.19598888,121.4587266"
上海东安路(地铁站),上海地铁4号线内圈(宜山路--宜山路),24,上海,上海市,"31.1927333,121.4503209"
上海上海体育场(地铁站),上海地铁4号线内圈(宜山路--宜山路),25,上海,上海市,"31.18749902,121.43892726"
上海上海体育馆(地铁站),上海地铁4号线内圈(宜山路--宜山路),26,上海,上海市,"31.18469907,121.43280972"
上海宜山路(地铁站),上海地铁4号线内圈(宜山路--宜山路),27,上海,上海市,"31.18895158,121.42260786"
上海宜山路(地铁站),上海地铁4号线外圈(宜山路--宜山路),1,上海,上海市,"31.18895107,121.42260757"
上海上海体育馆(地铁站),上海地铁4号线外圈(宜山路--宜山路),2,上海,上海市,"31.18469841,121.43280952"
上海上海体育场(地铁站),上海地铁4号线外圈(宜山路--宜山路),3,上海,上海市,"31.18749874,121.43892616"
上海东安路(地铁站),上海地铁4号线外圈(宜山路--宜山路),4,上海,上海市,"31.19273279,121.45032237"
上海大木桥路(地铁站),上海地铁4号线外圈(宜山路--宜山路),5,上海,上海市,"31.1959894,121.45872467"
上海鲁班路(地铁站),上海地铁4号线外圈(宜山路--宜山路),6,上海,上海市,"31.20118227,121.47063216"
上海西藏南路(地铁站),上海地铁4号线外圈(宜山路--宜山路),7,上海,上海市,"31.20396761,121.48508783"
上海南浦大桥(地铁站),上海地铁4号线外圈(宜山路--宜山路),8,上海,上海市,"31.21053265,121.49529374"
上海塘桥(地铁站),上海地铁4号线外圈(宜山路--宜山路),9,上海,上海市,"31.21184536,121.51432798"
上海蓝村路(地铁站),上海地铁4号线外圈(宜山路--宜山路),10,上海,上海市,"31.2136722,121.52356879"
上海向城路(地铁站),上海地铁4号线外圈(宜山路--宜山路),11,上海,上海市,"31.2244004,121.52776162"
上海世纪大道(地铁站),上海地铁4号线外圈(宜山路--宜山路),12,上海,上海市,"31.23078132,121.52287799"
上海浦东大道(地铁站),上海地铁4号线外圈(宜山路--宜山路),13,上海,上海市,"31.24237971,121.51493894"
上海杨树浦路(地铁站),上海地铁4号线外圈(宜山路--宜山路),14,上海,上海市,"31.25399603,121.51283929"
上海大连路(地铁站),上海地铁4号线外圈(宜山路--宜山路),15,上海,上海市,"31.25998327,121.50870187"
上海临平路(地铁站),上海地铁4号线外圈(宜山路--宜山路),16,上海,上海市,"31.26288213,121.49626431"
上海海伦路(地铁站),上海地铁4号线外圈(宜山路--宜山路),17,上海,上海市,"31.26099403,121.48519237"
上海宝山路(地铁站),上海地铁4号线外圈(宜山路--宜山路),18,上海,上海市,"31.25346298,121.47178166"
上海上海火车站(地铁站),上海地铁4号线外圈(宜山路--宜山路),19,上海,上海市,"31.25152619,121.45336729"
上海中潭路(地铁站),上海地铁4号线外圈(宜山路--宜山路),20,上海,上海市,"31.25642593,121.43638751"
上海镇坪路(地铁站),上海地铁4号线外圈(宜山路--宜山路),21,上海,上海市,"31.24821464,121.42514554"
